country,self_identification,experience_range,salary_range,tech_do
Indonesia,Engineer; Programmer; Manager; Expert; Full-stack Developer,6 - 10 years,"$30,000 - $40,000","Android; Cloud (AWS, GAE, Azure, etc.); iOS; Java; Python; R"
Singapore,Programmer; Sr. Developer; Guru,11+ years,"$30,000 - $40,000",AngularJS; Java; JavaScript; SQL; SQL Server
Spain,Developer,11+ years,"$30,000 - $40,000",Java; JavaScript
Spain,Developer; Engineer; Programmer,6 - 10 years,"$30,000 - $40,000",Android; AngularJS; C#; Java; JavaScript; MongoDB; SQL; SQL Server
Ukraine,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",C#; Cordova; JavaScript; SQL Server
Ukraine,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer,11+ years,"$30,000 - $40,000",C#; SQL; SQL Server
United Kingdom,Developer; Engineer; Programmer,Less than 1 year,"$30,000 - $40,000",C#; Java; Python
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Hacker,2 - 5 years,"$30,000 - $40,000",Android; Arduino / Raspberry Pi; C#; JavaScript; Python; WordPress
United Kingdom,Developer; Programmer; Sr. Developer; Expert,6 - 10 years,"$30,000 - $40,000","C#; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; SQL Server"
Belgium,Developer,2 - 5 years,"$30,000 - $40,000",AngularJS; C#; JavaScript; SQL; SQL Server; Visual Basic
Bulgaria,Developer; Engineer; Programmer; Sr. Developer,2 - 5 years,"$30,000 - $40,000",C#
Netherlands,Developer; Engineer; Programmer,1 - 2 years,"$30,000 - $40,000",C; C++; C#; JavaScript; Node.js
Poland,Developer; Programmer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; C#; JavaScript; Node.js; SQL; SQL Server
Germany,Developer; Programmer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",Arduino / Raspberry Pi; JavaScript; Perl; Python; ReactJS; Redis; SQL
India,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",C#
Brazil,Developer; Engineer; Sr. Developer; Rockstar; Ninja; Expert; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; Java; JavaScript; Node.js; ReactJS; Ruby; SQL
Finland,Developer; Programmer; Full-stack Developer,1 - 2 years,"$30,000 - $40,000",AngularJS; JavaScript; MongoDB; Node.js; Scala
France,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",Java; JavaScript; PHP; SQL
Italy,Developer; Engineer; Sr. Developer,11+ years,"$30,000 - $40,000",C
Italy,Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",JavaScript; PHP; SQL; WordPress
Mexico,Engineer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",C; C++; SQL
Poland,Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",C#; JavaScript; SQL; SQL Server
Poland,Developer; Full-stack Developer,11+ years,"$30,000 - $40,000",JavaScript; PHP; SQL
Sweden,Developer; Programmer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; iOS; JavaScript; Node.js; PHP; SQL; Swift; WordPress
Sweden,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",JavaScript; Node.js; PHP; Redis; Ruby; SQL; WordPress
Canada,Programmer,2 - 5 years,"$30,000 - $40,000",Perl
Italy,Developer; Engineer; Programmer; Expert; Full Stack Overflow Developer,1 - 2 years,"$30,000 - $40,000",C; Java; Python
Belgium,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",C++; Cordova; Java; JavaScript; LAMP; Node.js; PHP; ReactJS; Redis
Bulgaria,Engineer; Sr. Developer,11+ years,"$30,000 - $40,000",Arduino / Raspberry Pi; C#; Python; Redis; SQL; SQL Server
Canada,Developer; Engineer; Programmer,1 - 2 years,"$30,000 - $40,000",Java; PHP; Scala; SQL
France,Developer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$30,000 - $40,000",JavaScript; LAMP; PHP; SQL
France,Developer; Engineer; Programmer; Sr. Developer; Full Stack Overflow Developer,2 - 5 years,"$30,000 - $40,000",Java; JavaScript; SQL
France,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",AngularJS; JavaScript; MongoDB; Node.js
France,Developer; Engineer; Programmer; Rockstar,Less than 1 year,"$30,000 - $40,000",C++; C#
France,Developer; Engineer; Full-stack Developer,1 - 2 years,"$30,000 - $40,000",C; C#; JavaScript; SQL; SQL Server
Mexico,Developer; Engineer,6 - 10 years,"$30,000 - $40,000",Android; C#; Java; SQL
Netherlands,Developer; Programmer; Full-stack Developer,1 - 2 years,"$30,000 - $40,000",AngularJS; C#; JavaScript
Poland,Sr. Developer; Expert,11+ years,"$30,000 - $40,000",C; C++; Python
Poland,Developer; Programmer; Full-stack Developer,11+ years,"$30,000 - $40,000","C++; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); Haskell; JavaScript; Node.js; PHP; Python; SQL"
Portugal,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",iOS; Objective-C; Ruby; SQL; Swift; WordPress
Spain,Developer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",Ruby
Spain,Developer; Engineer; Programmer,11+ years,"$30,000 - $40,000",Java; JavaScript; SQL
United Kingdom,Developer; Programmer; Full-stack Developer,1 - 2 years,"$30,000 - $40,000",AngularJS; C#; JavaScript; SQL
United Kingdom,Developer,2 - 5 years,"$30,000 - $40,000",AngularJS; C++; C#; JavaScript; LAMP; PHP; SQL; SQL Server; Visual Basic
United Kingdom,Developer; Programmer,6 - 10 years,"$30,000 - $40,000",AngularJS; Java; JavaScript; Ruby
United States,Developer; Programmer; Sr. Developer; Ninja; Expert; Full-stack Developer,1 - 2 years,"$30,000 - $40,000",Android; C++; iOS; JavaScript; LAMP; Node.js; PHP; SQL
United States,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C#; Visual Basic
Luxembourg,Developer; Programmer; Full-stack Developer,1 - 2 years,"$30,000 - $40,000","C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; PHP; Python; SQL"
Russian Federation,Sr. Developer; Manager; Expert,11+ years,"$30,000 - $40,000",C#; SQL
Ukraine,Developer,11+ years,"$30,000 - $40,000",Cordova; Java; JavaScript; Python; SQL
United States,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C++; C#
Poland,Developer; Engineer; Programmer; Sr. Developer; Hacker,6 - 10 years,"$30,000 - $40,000",Android; C#; Java
Spain,Developer; Engineer,2 - 5 years,"$30,000 - $40,000",Java
Germany,Developer; Engineer; Sr. Developer,11+ years,"$30,000 - $40,000","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; PHP"
Poland,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",Android; AngularJS; Java; Node.js; R; Ruby
Portugal,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",AngularJS; C#; JavaScript; PHP; SQL; SQL Server; WordPress
Romania,Developer; Sr. Developer; Full-stack Developer,11+ years,"$30,000 - $40,000",AngularJS; JavaScript; LAMP; Node.js; PHP; ReactJS; Ruby
Spain,Rockstar,11+ years,"$30,000 - $40,000",AngularJS; Java; JavaScript; SQL
Spain,Engineer; Sr. Developer,11+ years,"$30,000 - $40,000",AngularJS; C#; JavaScript; SQL Server
Sweden,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",Java
United States,Developer; Programmer,6 - 10 years,"$30,000 - $40,000",JavaScript; Node.js; Python; SQL
Costa Rica,Engineer; Guru; Expert,6 - 10 years,"$30,000 - $40,000","C++; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; LAMP; Matlab; PHP; Salesforce; SQL; SQL Server; Visual Basic"
Ukraine,Developer; Engineer; Expert,6 - 10 years,"$30,000 - $40,000",Arduino / Raspberry Pi; C; Matlab; Perl; Python
Bangladesh,Engineer; Sr. Developer; Rockstar; Expert; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",Android; Arduino / Raspberry Pi; AngularJS; Hadoop; Java; Node.js; Python; SQL
France,Developer; Engineer; Programmer; Sr. Developer; Ninja; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer,11+ years,"$30,000 - $40,000",AngularJS; JavaScript; LAMP; PHP; WordPress
Germany,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",Android; C#; Python
Italy,Sr. Developer; Rockstar; Ninja; Full Stack Overflow Developer,11+ years,"$30,000 - $40,000",Android; C; C#; Cordova; Clojure; iOS; Java; JavaScript; Objective-C; Python
Italy,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",Java; JavaScript; PHP
Italy,Developer; Ninja,6 - 10 years,"$30,000 - $40,000",
Peru,Developer; Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",JavaScript; PHP; Python; SQL
Poland,Engineer; Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",Java; Python; Redis
Russian Federation,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",Java; JavaScript
Russian Federation,Programmer; Sr. Developer; Guru; Expert; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",Go; JavaScript; Node.js; PHP; Redis; SQL
South Africa,Developer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",Java; JavaScript; PHP
Spain,Developer,11+ years,"$30,000 - $40,000",C; C++; C#
Spain,Developer; Manager; Expert,6 - 10 years,"$30,000 - $40,000",Android; Cordova; Java; JavaScript; SQL; SQL Server; WordPress
Spain,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",Android; iOS; Objective-C; Python; Ruby; Swift
Turkey,Developer; Engineer; Programmer,1 - 2 years,"$30,000 - $40,000",Java
Ukraine,Engineer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; Cordova; JavaScript; LAMP; Node.js; PHP; ReactJS; Redis; SQL
United Kingdom,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",C; C++; C#; Java; Matlab; Rust
United Kingdom,Developer; Programmer; Sr. Developer,11+ years,"$30,000 - $40,000",JavaScript; LAMP; PHP; SQL; SQL Server
United Kingdom,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",Java; Python; Scala; SQL
United States,Developer,1 - 2 years,"$30,000 - $40,000",Java
Canada,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Hacker,2 - 5 years,"$30,000 - $40,000",Java; JavaScript; ReactJS
Netherlands,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C#; Python
Ukraine,Developer; Engineer,2 - 5 years,"$30,000 - $40,000",Java; JavaScript; Node.js; Python; ReactJS
Netherlands,Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",JavaScript; Ruby
Spain,Engineer; Sr. Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; JavaScript
United Kingdom,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",Arduino / Raspberry Pi; JavaScript; LAMP; PHP; SQL; SQL Server
Dominican Republic,Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; JavaScript; Node.js; WordPress
Ecuador,Programmer; Ninja,1 - 2 years,"$30,000 - $40,000",Java
Mexico,Developer; Programmer; Full-stack Developer,11+ years,"$30,000 - $40,000",AngularJS; JavaScript; PHP; ReactJS; SQL; WordPress
Portugal,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",Android; C++; C#; Java
Sweden,Developer; Programmer; Expert; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",JavaScript; LAMP; Node.js; PHP; ReactJS
Sweden,Developer; Programmer; Manager; Full-stack Developer,,"$30,000 - $40,000",JavaScript; Node.js; Python
United States,Developer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",C++; Java; JavaScript; PHP; SQL; Visual Basic
France,Developer; Engineer; Programmer,1 - 2 years,"$30,000 - $40,000",C; C++; Hadoop; Java; JavaScript; LAMP; Matlab; MongoDB; Perl; PHP; Python; R; SQL
India,Ninja; Hacker,2 - 5 years,"$30,000 - $40,000",C; C++; C#; Java; Python
India,Engineer,2 - 5 years,"$30,000 - $40,000",C; C++; Perl
Spain,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",Python; SQL
United States,Manager; Expert,2 - 5 years,"$30,000 - $40,000",Android
Australia,Developer,2 - 5 years,"$30,000 - $40,000",SQL; SQL Server
Austria,Developer; Programmer; Expert; Full Stack Overflow Developer,11+ years,"$30,000 - $40,000",C; C++; C#; Java; JavaScript; Matlab; PHP; SQL
Canada,Engineer,11+ years,"$30,000 - $40,000",C++; JavaScript; PHP
Canada,Developer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; C#; JavaScript; Ruby; SQL Server
Czech Republic,Developer; Engineer; Programmer; Ninja,2 - 5 years,"$30,000 - $40,000",Android; iOS; Java; Matlab; Objective-C; Python; R; Swift
France,Engineer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",C#; JavaScript; PHP; SQL; SQL Server
France,Developer; Engineer; Programmer,6 - 10 years,"$30,000 - $40,000","Arduino / Raspberry Pi; C; C#; Cloud (AWS, GAE, Azure, etc.); SQL"
France,Developer; Engineer; Programmer; Rockstar; Ninja,2 - 5 years,"$30,000 - $40,000",Android; Arduino / Raspberry Pi; AngularJS; Cordova; Java; Matlab; MongoDB; PHP; SQL
France,Developer; Engineer; Programmer,Less than 1 year,"$30,000 - $40,000",AngularJS; Java; JavaScript; Python; Spark
Germany,Developer; Programmer; Expert,11+ years,"$30,000 - $40,000",C++; C#; F#; JavaScript; SQL; SQL Server
Germany,Developer; Hacker,11+ years,"$30,000 - $40,000",Java; Python
India,Developer,11+ years,"$30,000 - $40,000","AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; MongoDB; Node.js"
Ireland {Republic},Developer; Engineer; Programmer; Full-stack Developer; Hacker,6 - 10 years,"$30,000 - $40,000","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; SQL Server"
Israel,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Expert; Full-stack Developer,11+ years,"$30,000 - $40,000",AngularJS; C#; Java; JavaScript; Node.js; SQL; SQL Server
Korea South,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",AngularJS; C#; Redis; Ruby
Netherlands,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C#; Redis
Poland,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C#; SQL
Sweden,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",C++; C#; JavaScript; PHP; Python; SQL; Visual Basic
Switzerland,Developer; Engineer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",Android; Java; Python; Spark
United Kingdom,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",Android; C#; Java; JavaScript; Ruby; SQL; SQL Server; Visual Basic
United Kingdom,Developer; Engineer; Programmer; Ninja; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",Android; Arduino / Raspberry Pi; C++; Java; JavaScript; Visual Basic
United Kingdom,Manager,Less than 1 year,"$30,000 - $40,000",AngularJS; JavaScript; MongoDB; Node.js; Python
United Kingdom,Developer; Programmer,1 - 2 years,"$30,000 - $40,000",Android; AngularJS; Java; JavaScript
United States,Developer,11+ years,"$30,000 - $40,000",JavaScript; LAMP; PHP; SQL
Portugal,Developer; Engineer,2 - 5 years,"$30,000 - $40,000",C++; C#
Ukraine,Developer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",JavaScript; MongoDB; Node.js
United Kingdom,Developer; Engineer; Hacker,6 - 10 years,"$30,000 - $40,000",Android; Arduino / Raspberry Pi; C; C++; JavaScript; Python; R
Belgium,Developer; Hacker,6 - 10 years,"$30,000 - $40,000",C; C++; Python
Brazil,Developer; Programmer,11+ years,"$30,000 - $40,000",Go; Python
France,Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",Android; AngularJS; iOS; JavaScript; MongoDB; Node.js; Objective-C; Python; SQL; Swift
Germany,Developer; Programmer; Expert; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",JavaScript; MongoDB; Node.js; PHP; WordPress
Lebanon,Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",C#; Java; JavaScript; SQL
Netherlands,Developer,2 - 5 years,"$30,000 - $40,000",C#; SQL Server
Poland,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",iOS; Java; Swift
Brazil,Developer; Programmer; Sr. Developer; Manager; Expert,11+ years,"$30,000 - $40,000",Arduino / Raspberry Pi; AngularJS; C; C++; C#; JavaScript; SharePoint; SQL; SQL Server; Windows Phone
Canada,Developer,1 - 2 years,"$30,000 - $40,000",C#; SQL; SQL Server
Poland,Developer,11+ years,"$30,000 - $40,000",Java; SQL
Poland,Developer; Engineer; Programmer; Rockstar; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer,2 - 5 years,"$30,000 - $40,000",C++; Haskell; JavaScript; MongoDB; Node.js
United Kingdom,Developer; Expert,6 - 10 years,"$30,000 - $40,000",JavaScript; LAMP; Node.js; PHP; SQL; WordPress
Belgium,Developer; Programmer; Full-stack Developer; Hacker,1 - 2 years,"$30,000 - $40,000",AngularJS; JavaScript; PHP; ReactJS; Scala; Swift
Brazil,Developer; Programmer; Full-stack Developer,11+ years,"$30,000 - $40,000",Matlab; Perl; R
Canada,Developer; Programmer; Full-stack Developer,Less than 1 year,"$30,000 - $40,000",C#; Java; JavaScript; SQL
Canada,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",JavaScript; PHP; SQL
Chile,Developer; Engineer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",Android; AngularJS; Java; JavaScript; PHP; SQL
France,Developer; Programmer,1 - 2 years,"$30,000 - $40,000",C++; C#; JavaScript; PHP; SQL
France,Developer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",JavaScript; LAMP; Node.js; PHP; SQL; WordPress
France,Developer; Programmer; Hacker,2 - 5 years,"$30,000 - $40,000",JavaScript; PHP; SQL
Germany,Developer; Programmer; Full-stack Developer,1 - 2 years,"$30,000 - $40,000",CoffeeScript; JavaScript; Ruby
Italy,Developer; Engineer,2 - 5 years,"$30,000 - $40,000",Android; AngularJS; JavaScript
Italy,Developer; Ninja,2 - 5 years,"$30,000 - $40,000",AngularJS; Java; JavaScript; LAMP; PHP; WordPress
Italy,Programmer; Sr. Developer; Rockstar; Full-stack Developer,11+ years,"$30,000 - $40,000",C#; JavaScript; SQL Server; Visual Basic
Netherlands,,Less than 1 year,"$30,000 - $40,000",Java; Python
Singapore,Developer,2 - 5 years,"$30,000 - $40,000",Android; C#; Java; JavaScript; SQL Server
Spain,Developer; Engineer; Sr. Developer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",JavaScript; Node.js; PHP; SQL
Ukraine,Developer,11+ years,"$30,000 - $40,000",C#; F#
United Kingdom,Developer,2 - 5 years,"$30,000 - $40,000",AngularJS; C#; JavaScript; SQL; SQL Server; Visual Basic
United Kingdom,Developer; Full-stack Developer,Less than 1 year,"$30,000 - $40,000",AngularJS; JavaScript; Node.js; SQL
United Kingdom,Developer,2 - 5 years,"$30,000 - $40,000","C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; SQL; SQL Server"
New Zealand,Developer; Programmer,1 - 2 years,"$30,000 - $40,000",C#; Java
United Kingdom,Developer; Engineer,Less than 1 year,"$30,000 - $40,000",JavaScript; PHP; SQL
United Kingdom,Developer; Engineer; Programmer,1 - 2 years,"$30,000 - $40,000",C#
Germany,Developer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",AngularJS; C#; Cordova; Go; Java; JavaScript; Node.js; PHP; ReactJS; Ruby; SQL; WordPress
South Africa,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",AngularJS; Java
Turkey,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Guru; Expert,6 - 10 years,"$30,000 - $40,000",PHP; Redis
Netherlands,Developer; Hacker,2 - 5 years,"$30,000 - $40,000",Java; JavaScript; Redis
Portugal,Engineer; Manager; Full-stack Developer,11+ years,"$30,000 - $40,000",C#; SQL; Visual Basic
Serbia,Sr. Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; Java; JavaScript; MongoDB; Node.js; Redis; Ruby; Scala; SQL; SQL Server
Spain,Developer,2 - 5 years,"$30,000 - $40,000",AngularJS; JavaScript; MongoDB; Node.js; PHP; WordPress
Spain,Developer; Programmer; Sr. Developer; Expert,11+ years,"$30,000 - $40,000",C#; JavaScript
Italy,Developer; Engineer,6 - 10 years,"$30,000 - $40,000",C++; Java; JavaScript; PHP; SQL; SQL Server
Netherlands,Developer; Engineer; Programmer; Ninja,,"$30,000 - $40,000",Arduino / Raspberry Pi; C#; Windows Phone; WordPress
Singapore,Programmer,1 - 2 years,"$30,000 - $40,000",Matlab; Python
United Arab Emirates,Developer; Programmer; Rockstar,2 - 5 years,"$30,000 - $40,000",Java; Python; SQL
Australia,Developer; Programmer,Less than 1 year,"$30,000 - $40,000",Android; C; C++; Haskell; Java; JavaScript; Node.js; PHP; Python; Ruby; SQL; Visual Basic; WordPress
Belarus,Engineer; Expert,6 - 10 years,"$30,000 - $40,000",C#; JavaScript; SQL; SQL Server
Belgium,Sr. Developer,11+ years,"$30,000 - $40,000",C#; Cordova; JavaScript; SQL Server
Belgium,Programmer,6 - 10 years,"$30,000 - $40,000",Android; C#; JavaScript; SQL; Visual Basic
Canada,Developer; Programmer,,"$30,000 - $40,000",SQL Server
Canada,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",AngularJS; C++; Java; JavaScript; MongoDB; Node.js; SQL
Canada,,2 - 5 years,"$30,000 - $40,000",R
Egypt,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Full-stack Developer,6 - 10 years,"$30,000 - $40,000","AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Node.js; SQL"
France,Developer; Engineer; Programmer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",Android; AngularJS; C++; Clojure; Java; JavaScript; Node.js
Germany,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C#; SQL; SQL Server; Visual Basic
Germany,Developer; Programmer; Sr. Developer; Manager,11+ years,"$30,000 - $40,000",AngularJS; Cordova; JavaScript; PHP; SQL
Ireland {Republic},Developer; Engineer; Programmer,1 - 2 years,"$30,000 - $40,000",JavaScript; Python; Redis; SQL
Ireland {Republic},Developer; Engineer; Programmer,2 - 5 years,"$30,000 - $40,000",Android; Haskell; iOS; Java; JavaScript; Objective-C; SQL
Korea South,Developer; Engineer; Programmer; Guru; Hacker,2 - 5 years,"$30,000 - $40,000",LAMP; Python; Redis; SQL
Norway,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C#; iOS; Swift
Poland,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",C#; F#; MongoDB
South Africa,Developer; Programmer; Sr. Developer; Rockstar; Ninja; Guru,6 - 10 years,"$30,000 - $40,000",Android; Java; JavaScript
Spain,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",AngularJS; Cordova; JavaScript; LAMP; Node.js; PHP; SQL; Swift; WordPress
Sweden,Developer; Engineer; Programmer,6 - 10 years,"$30,000 - $40,000",C++; C#; Java; Python
Ukraine,Developer; Programmer; Hacker,2 - 5 years,"$30,000 - $40,000",C++; iOS; Objective-C; Swift
United Kingdom,,11+ years,"$30,000 - $40,000",Java; SQL
United Kingdom,Developer; Programmer; Expert; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",C#; F#; JavaScript; SQL Server; WordPress
United Kingdom,Developer; Engineer; Programmer; Rockstar; Ninja; Guru; Expert; Full-stack Developer,1 - 2 years,"$30,000 - $40,000",JavaScript; MongoDB; ReactJS; Scala
United Kingdom,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C#; JavaScript; SQL; SQL Server
United Kingdom,Developer; Programmer,1 - 2 years,"$30,000 - $40,000",C; Java; JavaScript; LAMP; PHP; SQL
United Kingdom,Engineer; Programmer,6 - 10 years,"$30,000 - $40,000",Arduino / Raspberry Pi; C; C++; Java; Python; Scala
United Kingdom,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C++; Java
United States,Developer; Programmer,2 - 5 years,"$30,000 - $40,000",C; C++; C#; Java; JavaScript; Python
Canada,Developer; Programmer,6 - 10 years,"$30,000 - $40,000",Android; CoffeeScript; JavaScript; Objective-C; Python; Swift
France,Developer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer; Full Stack Overflow Developer,11+ years,"$30,000 - $40,000",AngularJS; Dart; JavaScript; LAMP; Node.js; PHP; SQL
France,Developer,2 - 5 years,"$30,000 - $40,000","C++; C#; Cassandra; Cloud (AWS, GAE, Azure, etc.); Hadoop; MongoDB; Spark"
Netherlands,Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; Cordova; JavaScript; PHP
Poland,Developer; Engineer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",AngularJS; Java; JavaScript; MongoDB; Node.js; SQL
Sweden,Programmer,2 - 5 years,"$30,000 - $40,000",JavaScript; PHP; WordPress
United States,Developer; Programmer; Rockstar; Ninja; Guru,2 - 5 years,"$30,000 - $40,000",Android
Bulgaria,Sr. Developer; Expert; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",Java; Scala
Malta,Developer; Engineer; Programmer; Rockstar; Full-stack Developer; Full Stack Overflow Developer,2 - 5 years,"$30,000 - $40,000",Android; C++; iOS; Java; JavaScript; Objective-C; Python
Poland,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",PHP
South Africa,Developer; Programmer; Sr. Developer; Ninja; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",C#; JavaScript
Belarus,Developer; Engineer; Sr. Developer,6 - 10 years,"$30,000 - $40,000",Arduino / Raspberry Pi; JavaScript; ReactJS
Cameroon,Developer; Engineer; Programmer,6 - 10 years,"$30,000 - $40,000",Android; Java
Canada,Developer; Engineer; Programmer,6 - 10 years,"$30,000 - $40,000",JavaScript; Python; SQL
Canada,Developer,1 - 2 years,"$30,000 - $40,000",JavaScript; LAMP; PHP; Python; WordPress
Canada,Developer,1 - 2 years,"$30,000 - $40,000",C#
Chile,Sr. Developer; Manager; Expert; Full-stack Developer; Full Stack Overflow Developer,11+ years,"$30,000 - $40,000",AngularJS; C++; C#; Java; JavaScript; LAMP; PHP; SharePoint; SQL; SQL Server; Visual Basic; Windows Phone
Czech Republic,Developer; Programmer; Full-stack Developer,2 - 5 years,"$30,000 - $40,000",C#; SQL Server
Ecuador,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$30,000 - $40,000",Arduino / Raspberry Pi; JavaScript; MongoDB; Node.js; PHP; ReactJS
France,Developer; Engineer; Programmer; Guru; Hacker,2 - 5 years,"$30,000 - $40,000",C; Java; Visual Basic
France,Developer; Programmer; Ninja; Full-stack Developer,6 - 10 years,"$30,000 - $40,000",JavaScript; PHP; SQL
Germany,Developer; Programmer; Hacker,6 - 10 years,"$30,000 - $40,000",Android; Arduino / Raspberry Pi; C++; C#; F#; Go; Redis; SQL; SQL Server
Israel,Developer,2 - 5 years,"$30,000 - $40,000",C; C#
